,x,y,width,height
0,0.4805078125,0.8983397565982405,0.04124999999999995,0.030018999999999924
1,0.9905859375,0.7705236539589442,0.01375000000000004,0.018762000000000074
2,0.356875,0.6665621666666667,0.09375,0.036667000000000005
3,0.8778125,0.5146878333333333,0.04812499999999997,0.027500000000000007
4,0.2845703125,0.873529918128655,0.057499999999999996,0.02059899999999993
5,0.4974412401171303,0.78640625,0.280488,0.03937500000000005
6,0.438046875,0.6978351512481645,0.185,0.12030099999999992
7,0.4923828125,0.8059500606060607,0.07312500000000005,0.022308999999999954
8,0.5240625,0.5376562500000001,0.329375,0.195833
9,0.45510416666666664,0.709921875,0.13166700000000006,0.028749999999999942
10,0.1571484375,0.7270611595900439,0.029375000000000012,0.028141999999999973
11,0.3696875,0.7802335461200585,0.04749999999999999,0.036586000000000035
12,0.553671875,0.8061458333333333,0.215625,0.05916699999999997
13,0.6551953125,0.4690374117647059,0.05812500000000009,0.09877699999999992
14,0.847578125,0.38194941176470587,0.03562500000000002,0.049857999999999944
15,0.4668359375,0.7590895151515151,0.07687499999999997,0.03200800000000005
16,0.2434765625,0.7518812518301611,0.09750000000000003,0.09943700000000004
17,0.105078125,0.636854686131387,0.06812500000000002,0.02894499999999996
18,0.41953125,0.715523102189781,0.070625,0.03828200000000006
19,0.6064453125,0.5933778321167883,0.057499999999999996,0.02427700000000002
20,0.3024609375,0.5528649166666667,0.10750000000000001,0.12499999999999993
21,0.527578125,0.6861269326500733,0.03687499999999999,0.04408999999999993
22,0.356015625,0.7294270833333334,0.083125,0.03416699999999991
23,0.053515125,0.773828125,0.035938,0.035938000000000025
24,0.0929296875,0.21981250000000002,0.03875000000000001,0.018000000000000016
25,0.2132421875,0.5157499999999999,0.148125,0.08900000000000005
26,0.79375,0.3180625,0.0631250000000001,0.031000000000000007
27,0.6599609375,0.7000003333333332,0.13875000000000004,0.043333000000000066
28,0.7578120625,0.6705730833333332,0.018554999999999988,0.03515600000000011
29,0.14449218749999998,0.6593382264150943,0.11687499999999999,0.08695700000000005
30,0.980703125,0.35484496226415096,0.036250000000000004,0.01932299999999998
31,0.4329296875,0.7215892052785924,0.06937500000000002,0.025351999999999878
